Ward Precinct Code,Ward Precinct,Race Code,Race,Candidate Code,Candidate,Count
101,"Ward 1, Precinct 1",5,PRESIDENT/VICE PRESIDENT,10,JOHNSON & GRAY,20
101,"Ward 1, Precinct 1",5,PRESIDENT/VICE PRESIDENT,20,OBAMA & BIDEN,1042
101,"Ward 1, Precinct 1",5,PRESIDENT/VICE PRESIDENT,30,ROMNEY & RYAN,328
101,"Ward 1, Precinct 1",5,PRESIDENT/VICE PRESIDENT,40,STEIN & HONKALA,6
101,"Ward 1, Precinct 1",5,PRESIDENT/VICE PRESIDENT,60,Write-in,1
101,"Ward 1, Precinct 1",5,PRESIDENT/VICE PRESIDENT,999995,Blank,4
101,"Ward 1, Precinct 1",5,PRESIDENT/VICE PRESIDENT,999996,Total,1401
101,"Ward 1, Precinct 1",10,SENATOR in CONGRESS,5,SCOTT P BROWN,422
101,"Ward 1, Precinct 1",10,SENATOR in CONGRESS,10,ELIZABETH A WARREN,962
101,"Ward 1, Precinct 1",10,SENATOR in CONGRESS,20,Write-in,4
101,"Ward 1, Precinct 1",10,SENATOR in CONGRESS,999995,Blank,13
101,"Ward 1, Precinct 1",10,SENATOR in CONGRESS,999996,Total,1401
101,"Ward 1, Precinct 1",27,REP in CONGRESS 7th Dist,10,MICHAEL E CAPUANO,1032
101,"Ward 1, Precinct 1",27,REP in CONGRESS 7th Dist,15,KARLA ROMERO,250
101,"Ward 1, Precinct 1",27,REP in CONGRESS 7th Dist,20,Write-in,2
101,"Ward 1, Precinct 1",27,REP in CONGRESS 7th Dist,999995,Blank,117
101,"Ward 1, Precinct 1",27,REP in CONGRESS 7th Dist,999996,Total,1401
101,"Ward 1, Precinct 1",30,COUNCILLOR,10,TERRENCE W KENNEDY,1045
101,"Ward 1, Precinct 1",30,COUNCILLOR,40,Write-in,11
101,"Ward 1, Precinct 1",30,COUNCILLOR,999995,Blank,345
101,"Ward 1, Precinct 1",30,COUNCILLOR,999996,Total,1401
101,"Ward 1, Precinct 1",53,SEN/GEN CT Middle&Suff,10,SAL N DiDOMENICO,1039
101,"Ward 1, Precinct 1",53,SEN/GEN CT Middle&Suff,20,Write-in,12
101,"Ward 1, Precinct 1",53,SEN/GEN CT Middle&Suff,999995,Blank,350
101,"Ward 1, Precinct 1",53,SEN/GEN CT Middle&Suff,999996,Total,1401
101,"Ward 1, Precinct 1",66,REP/GEN CT 26th Middle,10,"TIMOTHY J TOOMEY, JR",891
101,"Ward 1, Precinct 1",66,REP/GEN CT 26th Middle,15,THOMAS M VASCONCELOS,151
101,"Ward 1, Precinct 1",66,REP/GEN CT 26th Middle,16,MIKE CONNOLLY,225
101,"Ward 1, Precinct 1",66,REP/GEN CT 26th Middle,20,Write-in,4
101,"Ward 1, Precinct 1",66,REP/GEN CT 26th Middle,999995,Blank,130
101,"Ward 1, Precinct 1",66,REP/GEN CT 26th Middle,999996,Total,1401
101,"Ward 1, Precinct 1",80,CLERK of COURTS,10,MICHAEL A SULLIVAN,1079
101,"Ward 1, Precinct 1",80,CLERK of COURTS,20,Write-in,13
101,"Ward 1, Precinct 1",80,CLERK of COURTS,999995,Blank,309
101,"Ward 1, Precinct 1",80,CLERK of COURTS,999996,Total,1401
101,"Ward 1, Precinct 1",90,REGISTER of DEEDS,40,MARIA C CURTATONE,1042
101,"Ward 1, Precinct 1",90,REGISTER of DEEDS,70,WI - MaryAnn Heuston,0
101,"Ward 1, Precinct 1",90,REGISTER of DEEDS,80,Write-in,12
101,"Ward 1, Precinct 1",90,REGISTER of DEEDS,999995,Blank,347
101,"Ward 1, Precinct 1",90,REGISTER of DEEDS,999996,Total,1401
101,"Ward 1, Precinct 1",100,SHERIFF,10,PETER J KOUTOUJIAN,910
101,"Ward 1, Precinct 1",100,SHERIFF,15,ERNESTO M PETRONE,201
101,"Ward 1, Precinct 1",100,SHERIFF,19,WI - James Williamson,1
303,"Ward 3, Precinct 3",201,QUESTION 1,20,NO,140
101,"Ward 1, Precinct 1",100,SHERIFF,20,Write-in,5
101,"Ward 1, Precinct 1",100,SHERIFF,999995,Blank,284
101,"Ward 1, Precinct 1",100,SHERIFF,999996,Total,1401
101,"Ward 1, Precinct 1",201,QUESTION 1,10,YES,1057
101,"Ward 1, Precinct 1",201,QUESTION 1,20,NO,142
101,"Ward 1, Precinct 1",201,QUESTION 1,999995,Blank,202
101,"Ward 1, Precinct 1",201,QUESTION 1,999996,Total,1401
101,"Ward 1, Precinct 1",202,QUESTION 2,10,YES,810
101,"Ward 1, Precinct 1",202,QUESTION 2,20,NO,521
101,"Ward 1, Precinct 1",202,QUESTION 2,999995,Blank,70
101,"Ward 1, Precinct 1",202,QUESTION 2,999996,Total,1401
101,"Ward 1, Precinct 1",203,QUESTION 3,10,YES,968
