state,candidate2004,party2004,total2004
Alabama,Bush,R,"1,176,394"
Alabama,Kerry,D,693933
Alabama,Nader,I,6701
Alabama,Badnarik,I,3529
Alabama,Peroutka,I,1994
Alabama,Scattered,W,898
Alabama,,,1883449
Alaska,Bush,R,190889
Alaska,Kerry,D,111025
Alaska,Nader,POP,5069
Alaska,Peroutka,AKI,2092
Alaska,Badnarik,AKL,1675
Alaska,Cobb,GRN,1058
Alaska,Scattered,W,790
Alaska,,,312598
Arizona,Bush,R,1104294
Arizona,Kerry,D,893524
Arizona,Badnarik,LBT,11856
Arizona,Nader,W,2773
Arizona,Cobb,W,138
Arizona,,,2012585
Arkansas,Bush,R,572898
Arkansas,Kerry,D,469953
Arkansas,Nader,PPA,6171
Arkansas,Badnarik,LBT,2352
Arkansas,Peroutka,CST,2083
Arkansas,Cobb,GRA,1488
Arkansas,,,1054945
California,Kerry,D,6745485
California,Bush,R,5509826
California,Badnarik,LBT,50165
California,Cobb,GRN,40771
California,Peltier,PFP,27607
California,Peroutka,AIP,26645
California,Nader,W,21213
California,Jabin,W,1
California,Kennedy,W,82
California,Alexander-Pace,W,8
California,Parker,W,49
California,,,12421852
Colorado,Bush,R,1101255
Colorado,Kerry,D,1001732
Colorado,Nader,CRP,12718
Colorado,Badnarik,LBT,7664
Colorado,Peroutka,AMC,2562
Colorado,Cobb,GRN,1591
Colorado,Andress,UN,804
Colorado,Kennedy,W,700
Colorado,Amondson,CPP,378
Colorado,Van Auken,SEP,329
Colorado,Harris,SWP,241
Colorado,Brown,SOC,216
Colorado,Dodge,P,140
Colorado,,,2130330
Connecticut,Kerry,D,857488
Connecticut,Bush,R,693826
Connecticut,Nader,PC,12969
Connecticut,Cobb,GRN,9564
Connecticut,Badnarik,LBT,3367
Connecticut,Peroutka,CNC,1543
Connecticut,Calero,W,12
Connecticut,,,1578769
Delaware,Kerry,D,200152
Delaware,Bush,R,171660
Delaware,Nader,IDE,2153
Delaware,Badnarik,LBT,586
Delaware,Peroutka,CON,289
Delaware,Cobb,GRN,250
Delaware,Brown,NL,100
Delaware,,,375190
District of Columbia,Kerry,D,202970
District of Columbia,Bush,R,21256
District of Columbia,Nader,I,1485
District of Columbia,Cobb,DCG,737
District of Columbia,Scattered,W,506
District of Columbia,Badnarik,LBT,502
District of Columbia,Harris,SWP,130
District of Columbia,,,227586
Florida,Bush,R,3964522
Florida,Kerry,D,3583544
Florida,Nader,REF,32971
Florida,Badnarik,LBF,11996
Florida,Peroutka,CPF,6626
Florida,Cobb,GPF,3917
Florida,Brown,SFL,3502
Florida,Harris,FSW,2732
Florida,,,7609810
Georgia,Bush,R,1914254
Georgia,Kerry,D,1366149
Georgia,Badnarik,LBT,18387
Georgia,Nader,W,2231
Georgia,Peroutka,W,580
Georgia,Cobb,W,228
Georgia,Tancredo,W,26
Georgia,Kennedy,W,8
Georgia,Byrne,W,7
Georgia,Pace,W,5
Georgia,,,3301875
Hawaii,Kerry,D,231708
Hawaii,Bush,R,194191
Hawaii,Cobb,GRN,1737
Hawaii,Badnarik,LBT,1377
Hawaii,,,429013
Idaho,Bush,R,409235
Idaho,Kerry,D,181098
Idaho,Badnarik,LBT,3844
Idaho,Peroutka,CON,3084
Idaho,Nader,W,1115
Idaho,Cobb,W,58
Idaho,Kennedy,W,9
Idaho,Brown,W,3
Idaho,Merepeace-msmere,W,1
Idaho,,,598447
Illinois,Kerry,D,2891550
Illinois,Bush,R,2345946
Illinois,Badnarik,LBT,32442
Illinois,Nader,W,3571
Illinois,Peroutka,W,440
Illinois,Cobb,W,241
Illinois,Camejo,W,115
Illinois,Virag,W,4
Illinois,Bone,W,4
Illinois,Kennedy,W,3
Illinois,Cook,W,2
