state,votes_dem2012,votes_rep2012,votes_3rd2012,votes_total2012
Alabama,"795,696","1,255,925","22,717","2,074,338"
Alaska,"122,640","164,676","13,179","300,495"
Arizona,"1,025,232","1,233,654","40,368","2,299,254"
Arkansas,"394,409","647,744","27,315","1,069,468"
California,"7,854,285","4,839,958","344,304","13,038,547"
Colorado,"1,323,102","1,185,243","61,177","2,569,522"
Connecticut,"905,083","634,892","18,985","1,558,960"
Delaware,"242,584","165,484","5,853","413,921"
District of Columbia,"267,070","21,381","5,313","293,764"
Florida,"4,237,756","4,163,447","72,976","8,474,179"
Georgia,"1,773,827","2,078,688","47,535","3,900,050"
Hawaii,"306,658","121,015","7,024","434,697"
Idaho,"212,787","420,911","18,576","652,274"
Illinois,"3,019,512","2,135,216","87,286","5,242,014"
Indiana,"1,152,887","1,420,543","51,104","2,624,534"
Iowa,"822,544","730,617","29,019","1,582,180"
Kansas,"440,726","692,634","26,611","1,159,971"
Kentucky,"679,370","1,087,190","30,652","1,797,212"
Louisiana,"809,141","1,152,262","32,662","1,994,065"
Maine,"401,306","292,276","19,598","713,180"
Maryland,"1,677,844","971,869","57,614","2,707,327"
Massachusetts,"1,921,290","1,188,314","58,163","3,167,767"
Michigan,"2,564,569","2,115,256","51,136","4,730,961"
Minnesota,"1,546,167","1,320,225","70,169","2,936,561"
Mississippi,"562,949","710,746","11,889","1,285,584"
Missouri,"1,223,796","1,482,440","51,087","2,757,323"
Montana,"201,839","267,928","14,281","484,048"
Nebraska,"302,081","475,064","17,234","794,379"
Nevada,"531,373","463,567","19,978","1,014,918"
New Hampshire,"369,561","329,918","11,493","710,972"
New Jersey,"2,125,101","1,477,568","37,623","3,640,292"
New Mexico,"415,335","335,788","32,635","783,758"
New York,"4,485,741","2,490,431","104,987","7,081,159"
North Carolina,"2,178,391","2,270,395","56,586","4,505,372"
North Dakota,"124,827","188,163","9,637","322,627"
Ohio,"2,827,709","2,661,437","91,701","5,580,847"
Oklahoma,"443,547","891,325",0,"1,334,872"
Oregon,"970,488","754,175","64,607","1,789,270"
Pennsylvania,"2,990,274","2,680,434","82,962","5,753,670"
Rhode Island,"279,677","157,204","9,168","446,049"
South Carolina,"865,941","1,071,645","26,532","1,964,118"
South Dakota,"145,039","210,610","8,166","363,815"
Tennessee,"960,709","1,462,330","35,538","2,458,577"
Texas,"3,308,124","4,569,843","115,884","7,993,851"
Utah,"251,813","740,600","25,027","1,017,440"
Vermont,"199,239","92,698","7,353","299,290"
Virginia,"1,971,820","1,822,522","60,147","3,854,489"
Washington,"1,755,396","1,290,670","79,450","3,125,516"
West Virginia,"238,269","417,655","14,514","670,438"
Wisconsin,"1,620,985","1,407,966","39,483","3,068,434"
Wyoming,"69,286","170,962","8,813","249,061"
