State,votes_total,votes_dem,votes_rep,votes_lib
Alabama,2123372,729547,1318255,44467
Alaska,318608,116454,163387,18725
Arizona,2573165,1161167,1252401,106327
Arkansas,1130635,380494,684872,29829
California,14181595,8753788,4483810,478500
Colorado,2780220,1338870,1202484,144121
Connecticut,1644920,897572,673215,48676
Delaware,441590,235603,185127,14757
District of Columbia,311268,282830,12723,4906
Florida,9420039,4504975,4617886,207043
Georgia,4092373,1877963,2089104,125306
Hawaii,428937,266891,128847,15954
Idaho,690255,189765,409055,28331
Illinois,5536424,3090729,2146015,209596
Indiana,2734958,1033126,1557286,133993
Iowa,1566031,653669,800983,59186
Kansas,1184402,427005,671018,55406
Kentucky,1924149,628854,1202971,53752
Louisiana,2029032,780154,1178638,37978
Maine,747927,357735,335593,38105
Maryland,2781446,1677928,943169,79605
Massachusetts,3325046,1995196,1090893,138018
Michigan,4799284,2268839,2279543,172136
Minnesota,2944813,1367716,1322951,112972
Mississippi,1209357,485131,700714,14435
Missouri,2808605,1071068,1594511,97359
Montana,494526,177709,279240,28037
Nebraska,844227,284494,495961,38946
Nevada,1125385,539260,512058,37384
New Hampshire,744296,348526,345790,30777
New Jersey,3874046,2148278,1601933,72477
New Mexico,798318,385234,319666,74541
New York,7706777,4547218,2814346,176289
North Carolina,4741564,2189316,2362631,130126
North Dakota,344360,93758,216794,21434
Ohio,5496487,2394164,2841005,174498
Oklahoma,1452992,420375,949136,83481
Oregon,2001336,1002106,782403,94231
Pennsylvania,6115402,2926441,2970733,146715
Rhode Island,464144,252525,180543,14746
South Carolina,2103027,855373,1155389,49204
South Dakota,370093,117458,227721,20850
Tennessee,2508027,870695,1522925,70397
Texas,8969226,3877868,4685047,283492
Utah,1131430,310676,515231,39608
Vermont,315067,178573,95369,10078
Virginia,3982752,1981473,1769443,118274
Washington,3209214,1742718,1221747,160879
West Virginia,713051,188794,489371,23004
Wisconsin,2976150,1382536,1405284,106674
Wyoming,255849,55973,174419,13287
