,population,state,age,gender,race
0,6,Alabama,66.0,female,pacific_islander
1,10,Alaska,66.0,female,pacific_islander
2,28,Arizona,66.0,female,pacific_islander
3,2,Arkansas,66.0,female,pacific_islander
4,368,California,66.0,female,pacific_islander
5,12,Colorado,66.0,female,pacific_islander
6,2,Connecticut,66.0,female,pacific_islander
7,0,Delaware,66.0,female,pacific_islander
8,2,District of Columbia,66.0,female,pacific_islander
9,28,Florida,66.0,female,pacific_islander
10,10,Georgia,66.0,female,pacific_islander
11,463,Hawaii,66.0,female,pacific_islander
12,2,Idaho,66.0,female,pacific_islander
13,10,Illinois,66.0,female,pacific_islander
14,5,Indiana,66.0,female,pacific_islander
15,1,Iowa,66.0,female,pacific_islander
16,3,Kansas,66.0,female,pacific_islander
17,1,Kentucky,66.0,female,pacific_islander
18,5,Louisiana,66.0,female,pacific_islander
19,1,Maine,66.0,female,pacific_islander
20,13,Maryland,66.0,female,pacific_islander
21,5,Massachusetts,66.0,female,pacific_islander
22,15,Michigan,66.0,female,pacific_islander
23,5,Minnesota,66.0,female,pacific_islander
24,2,Mississippi,66.0,female,pacific_islander
25,7,Missouri,66.0,female,pacific_islander
26,1,Montana,66.0,female,pacific_islander
27,0,Nebraska,66.0,female,pacific_islander
28,50,Nevada,66.0,female,pacific_islander
29,0,New Hampshire,66.0,female,pacific_islander
30,4,New Jersey,66.0,female,pacific_islander
31,4,New Mexico,66.0,female,pacific_islander
32,20,New York,66.0,female,pacific_islander
33,6,North Carolina,66.0,female,pacific_islander
34,0,North Dakota,66.0,female,pacific_islander
35,4,Ohio,66.0,female,pacific_islander
36,6,Oklahoma,66.0,female,pacific_islander
37,24,Oregon,66.0,female,pacific_islander
38,10,Pennsylvania,66.0,female,pacific_islander
39,2,Rhode Island,66.0,female,pacific_islander
40,1,South Carolina,66.0,female,pacific_islander
41,0,South Dakota,66.0,female,pacific_islander
42,6,Tennessee,66.0,female,pacific_islander
43,34,Texas,66.0,female,pacific_islander
44,29,Utah,66.0,female,pacific_islander
45,1,Vermont,66.0,female,pacific_islander
46,12,Virginia,66.0,female,pacific_islander
47,62,Washington,66.0,female,pacific_islander
48,1,West Virginia,66.0,female,pacific_islander
49,4,Wisconsin,66.0,female,pacific_islander
50,1,Wyoming,66.0,female,pacific_islander
51,0,Puerto Rico,66.0,female,pacific_islander
0,6,Alabama,65.0,female,pacific_islander
1,10,Alaska,65.0,female,pacific_islander
2,40,Arizona,65.0,female,pacific_islander
3,7,Arkansas,65.0,female,pacific_islander
4,472,California,65.0,female,pacific_islander
5,10,Colorado,65.0,female,pacific_islander
6,1,Connecticut,65.0,female,pacific_islander
7,0,Delaware,65.0,female,pacific_islander
8,4,District of Columbia,65.0,female,pacific_islander
9,37,Florida,65.0,female,pacific_islander
10,10,Georgia,65.0,female,pacific_islander
11,506,Hawaii,65.0,female,pacific_islander
12,4,Idaho,65.0,female,pacific_islander
13,16,Illinois,65.0,female,pacific_islander
14,2,Indiana,65.0,female,pacific_islander
15,4,Iowa,65.0,female,pacific_islander
16,5,Kansas,65.0,female,pacific_islander
17,3,Kentucky,65.0,female,pacific_islander
18,8,Louisiana,65.0,female,pacific_islander
19,0,Maine,65.0,female,pacific_islander
20,11,Maryland,65.0,female,pacific_islander
21,2,Massachusetts,65.0,female,pacific_islander
22,6,Michigan,65.0,female,pacific_islander
23,4,Minnesota,65.0,female,pacific_islander
24,1,Mississippi,65.0,female,pacific_islander
