,population,state,age,gender,race
0,324,Alabama,60,female,asian
1,271,Alaska,60,female,asian
2,1048,Arizona,60,female,asian
3,189,Arkansas,60,female,asian
4,32910,California,60,female,asian
5,719,Colorado,60,female,asian
6,615,Connecticut,60,female,asian
7,131,Delaware,60,female,asian
8,110,District of Columbia,60,female,asian
9,2979,Florida,60,female,asian
10,1520,Georgia,60,female,asian
11,4394,Hawaii,60,female,asian
12,104,Idaho,60,female,asian
13,3463,Illinois,60,female,asian
14,437,Indiana,60,female,asian
15,213,Iowa,60,female,asian
16,358,Kansas,60,female,asian
17,233,Kentucky,60,female,asian
18,408,Louisiana,60,female,asian
19,86,Maine,60,female,asian
20,1872,Maryland,60,female,asian
21,1562,Massachusetts,60,female,asian
22,1168,Michigan,60,female,asian
23,731,Minnesota,60,female,asian
24,139,Mississippi,60,female,asian
25,505,Missouri,60,female,asian
26,54,Montana,60,female,asian
27,162,Nebraska,60,female,asian
28,1554,Nevada,60,female,asian
29,145,New Hampshire,60,female,asian
30,3957,New Jersey,60,female,asian
31,203,New Mexico,60,female,asian
32,8726,New York,60,female,asian
33,950,North Carolina,60,female,asian
34,36,North Dakota,60,female,asian
35,935,Ohio,60,female,asian
36,392,Oklahoma,60,female,asian
37,865,Oregon,60,female,asian
38,1742,Pennsylvania,60,female,asian
39,134,Rhode Island,60,female,asian
40,385,South Carolina,60,female,asian
41,34,South Dakota,60,female,asian
42,463,Tennessee,60,female,asian
43,5257,Texas,60,female,asian
44,318,Utah,60,female,asian
45,30,Vermont,60,female,asian
46,2434,Virginia,60,female,asian
47,2957,Washington,60,female,asian
48,97,West Virginia,60,female,asian
49,414,Wisconsin,60,female,asian
50,26,Wyoming,60,female,asian
51,23,Puerto Rico,60,female,asian
0,311,Alabama,59,female,asian
1,244,Alaska,59,female,asian
2,1013,Arizona,59,female,asian
3,199,Arkansas,59,female,asian
4,31955,California,59,female,asian
5,784,Colorado,59,female,asian
6,591,Connecticut,59,female,asian
7,146,Delaware,59,female,asian
8,81,District of Columbia,59,female,asian
9,3017,Florida,59,female,asian
10,1521,Georgia,59,female,asian
11,4248,Hawaii,59,female,asian
12,128,Idaho,59,female,asian
13,3392,Illinois,59,female,asian
14,444,Indiana,59,female,asian
15,216,Iowa,59,female,asian
16,345,Kansas,59,female,asian
17,238,Kentucky,59,female,asian
18,414,Louisiana,59,female,asian
19,76,Maine,59,female,asian
20,1773,Maryland,59,female,asian
21,1621,Massachusetts,59,female,asian
22,1144,Michigan,59,female,asian
23,783,Minnesota,59,female,asian
24,154,Mississippi,59,female,asian
25,517,Missouri,59,female,asian
26,51,Montana,59,female,asian
27,173,Nebraska,59,female,asian
28,1548,Nevada,59,female,asian
29,125,New Hampshire,59,female,asian
30,3795,New Jersey,59,female,asian
31,184,New Mexico,59,female,asian
32,7942,New York,59,female,asian
33,921,North Carolina,59,female,asian
34,34,North Dakota,59,female,asian
35,1000,Ohio,59,female,asian
36,414,Oklahoma,59,female,asian
37,850,Oregon,59,female,asian
38,1763,Pennsylvania,59,female,asian
39,136,Rhode Island,59,female,asian
40,367,South Carolina,59,female,asian
41,35,South Dakota,59,female,asian
42,489,Tennessee,59,female,asian
43,5296,Texas,59,female,asian
44,276,Utah,59,female,asian
45,31,Vermont,59,female,asian
46,2312,Virginia,59,female,asian
47,3062,Washington,59,female,asian
48,86,West Virginia,59,female,asian
49,394,Wisconsin,59,female,asian
50,31,Wyoming,59,female,asian
51,16,Puerto Rico,59,female,asian
0,331,Alabama,58,female,asian
1,258,Alaska,58,female,asian
2,1021,Arizona,58,female,asian
3,207,Arkansas,58,female,asian
4,31346,California,58,female,asian
5,723,Colorado,58,female,asian
6,602,Connecticut,58,female,asian
7,137,Delaware,58,female,asian
8,84,District of Columbia,58,female,asian
9,2919,Florida,58,female,asian
10,1585,Georgia,58,female,asian
11,4211,Hawaii,58,female,asian
12,123,Idaho,58,female,asian
13,3348,Illinois,58,female,asian
14,457,Indiana,58,female,asian
15,232,Iowa,58,female,asian
16,354,Kansas,58,female,asian
17,199,Kentucky,58,female,asian
18,430,Louisiana,58,female,asian
19,83,Maine,58,female,asian
20,1754,Maryland,58,female,asian
21,1541,Massachusetts,58,female,asian
22,1062,Michigan,58,female,asian
23,778,Minnesota,58,female,asian
24,140,Mississippi,58,female,asian
25,479,Missouri,58,female,asian
26,39,Montana,58,female,asian
27,136,Nebraska,58,female,asian
28,1455,Nevada,58,female,asian
29,113,New Hampshire,58,female,asian
30,3700,New Jersey,58,female,asian
31,193,New Mexico,58,female,asian
32,7865,New York,58,female,asian
33,982,North Carolina,58,female,asian
34,21,North Dakota,58,female,asian
35,934,Ohio,58,female,asian
36,338,Oklahoma,58,female,asian
37,802,Oregon,58,female,asian
38,1750,Pennsylvania,58,female,asian
39,120,Rhode Island,58,female,asian
40,332,South Carolina,58,female,asian
41,30,South Dakota,58,female,asian
42,452,Tennessee,58,female,asian
43,5157,Texas,58,female,asian
44,257,Utah,58,female,asian
45,37,Vermont,58,female,asian
46,2325,Virginia,58,female,asian
47,2877,Washington,58,female,asian
48,74,West Virginia,58,female,asian
49,443,Wisconsin,58,female,asian
50,32,Wyoming,58,female,asian
51,14,Puerto Rico,58,female,asian
0,312,Alabama,57,female,asian
1,278,Alaska,57,female,asian
2,1103,Arizona,57,female,asian
3,182,Arkansas,57,female,asian
4,34219,California,57,female,asian
5,847,Colorado,57,female,asian
6,659,Connecticut,57,female,asian
7,133,Delaware,57,female,asian
8,110,District of Columbia,57,female,asian
9,3067,Florida,57,female,asian
10,1737,Georgia,57,female,asian
11,4484,Hawaii,57,female,asian
12,102,Idaho,57,female,asian
13,3533,Illinois,57,female,asian
14,457,Indiana,57,female,asian
15,223,Iowa,57,female,asian
16,381,Kansas,57,female,asian
17,239,Kentucky,57,female,asian
18,429,Louisiana,57,female,asian
19,71,Maine,57,female,asian
20,2093,Maryland,57,female,asian
21,1595,Massachusetts,57,female,asian
22,1082,Michigan,57,female,asian
23,767,Minnesota,57,female,asian
24,177,Mississippi,57,female,asian
25,508,Missouri,57,female,asian
26,53,Montana,57,female,asian
27,172,Nebraska,57,female,asian
28,1589,Nevada,57,female,asian
29,141,New Hampshire,57,female,asian
30,4143,New Jersey,57,female,asian
31,204,New Mexico,57,female,asian
32,8605,New York,57,female,asian
33,1077,North Carolina,57,female,asian
34,26,North Dakota,57,female,asian
35,1019,Ohio,57,female,asian
36,395,Oklahoma,57,female,asian
37,909,Oregon,57,female,asian
38,1895,Pennsylvania,57,female,asian
39,147,Rhode Island,57,female,asian
40,403,South Carolina,57,female,asian
41,40,South Dakota,57,female,asian
42,570,Tennessee,57,female,asian
43,5662,Texas,57,female,asian
44,301,Utah,57,female,asian
45,36,Vermont,57,female,asian
46,2681,Virginia,57,female,asian
47,3255,Washington,57,female,asian
48,88,West Virginia,57,female,asian
49,450,Wisconsin,57,female,asian
50,30,Wyoming,57,female,asian
51,22,Puerto Rico,57,female,asian
0,330,Alabama,56,female,asian
1,283,Alaska,56,female,asian
2,1077,Arizona,56,female,asian
3,214,Arkansas,56,female,asian
4,34614,California,56,female,asian
5,862,Colorado,56,female,asian
6,662,Connecticut,56,female,asian
7,140,Delaware,56,female,asian
8,106,District of Columbia,56,female,asian
9,3196,Florida,56,female,asian
10,1755,Georgia,56,female,asian
11,4432,Hawaii,56,female,asian
12,120,Idaho,56,female,asian
13,3716,Illinois,56,female,asian
14,486,Indiana,56,female,asian
15,227,Iowa,56,female,asian
16,349,Kansas,56,female,asian
17,252,Kentucky,56,female,asian
18,414,Louisiana,56,female,asian
19,89,Maine,56,female,asian
20,2020,Maryland,56,female,asian
21,1664,Massachusetts,56,female,asian
22,1160,Michigan,56,female,asian
23,813,Minnesota,56,female,asian
24,157,Mississippi,56,female,asian
25,536,Missouri,56,female,asian
26,41,Montana,56,female,asian
27,149,Nebraska,56,female,asian
28,1662,Nevada,56,female,asian
29,149,New Hampshire,56,female,asian
30,4173,New Jersey,56,female,asian
31,180,New Mexico,56,female,asian
32,8752,New York,56,female,asian
33,1118,North Carolina,56,female,asian
34,27,North Dakota,56,female,asian
35,955,Ohio,56,female,asian
36,395,Oklahoma,56,female,asian
37,866,Oregon,56,female,asian
38,1850,Pennsylvania,56,female,asian
39,144,Rhode Island,56,female,asian
40,373,South Carolina,56,female,asian
41,27,South Dakota,56,female,asian
42,545,Tennessee,56,female,asian
43,5525,Texas,56,female,asian
44,345,Utah,56,female,asian
45,55,Vermont,56,female,asian
46,2722,Virginia,56,female,asian
47,3356,Washington,56,female,asian
48,74,West Virginia,56,female,asian
49,428,Wisconsin,56,female,asian
50,34,Wyoming,56,female,asian
51,15,Puerto Rico,56,female,asian
0,361,Alabama,55,female,asian
1,315,Alaska,55,female,asian
2,1129,Arizona,55,female,asian
3,234,Arkansas,55,female,asian
4,37686,California,55,female,asian
5,890,Colorado,55,female,asian
6,745,Connecticut,55,female,asian
7,184,Delaware,55,female,asian
8,88,District of Columbia,55,female,asian
9,3460,Florida,55,female,asian
10,1836,Georgia,55,female,asian
11,4538,Hawaii,55,female,asian
12,131,Idaho,55,female,asian
13,4018,Illinois,55,female,asian
14,493,Indiana,55,female,asian
15,260,Iowa,55,female,asian
16,372,Kansas,55,female,asian
17,256,Kentucky,55,female,asian
18,473,Louisiana,55,female,asian
19,95,Maine,55,female,asian
20,2255,Maryland,55,female,asian
21,1993,Massachusetts,55,female,asian
22,1240,Michigan,55,female,asian
23,888,Minnesota,55,female,asian
24,187,Mississippi,55,female,asian
25,600,Missouri,55,female,asian
26,56,Montana,55,female,asian
27,147,Nebraska,55,female,asian
28,1749,Nevada,55,female,asian
29,167,New Hampshire,55,female,asian
30,4794,New Jersey,55,female,asian
31,216,New Mexico,55,female,asian
32,10093,New York,55,female,asian
33,1130,North Carolina,55,female,asian
34,24,North Dakota,55,female,asian
35,1050,Ohio,55,female,asian
36,457,Oklahoma,55,female,asian
37,957,Oregon,55,female,asian
38,1993,Pennsylvania,55,female,asian
39,156,Rhode Island,55,female,asian
40,411,South Carolina,55,female,asian
41,36,South Dakota,55,female,asian
42,594,Tennessee,55,female,asian
43,5897,Texas,55,female,asian
44,347,Utah,55,female,asian
45,52,Vermont,55,female,asian
46,2972,Virginia,55,female,asian
47,3599,Washington,55,female,asian
48,70,West Virginia,55,female,asian
49,554,Wisconsin,55,female,asian
50,36,Wyoming,55,female,asian
51,17,Puerto Rico,55,female,asian
0,16,Alabama,91,female,hispanic
1,3,Alaska,91,female,hispanic
2,295,Arizona,91,female,hispanic
3,8,Arkansas,91,female,hispanic
4,2804,California,91,female,hispanic
5,182,Colorado,91,female,hispanic
6,83,Connecticut,91,female,hispanic
7,4,Delaware,91,female,hispanic
8,11,District of Columbia,91,female,hispanic
9,1948,Florida,91,female,hispanic
10,67,Georgia,91,female,hispanic
11,18,Hawaii,91,female,hispanic
12,17,Idaho,91,female,hispanic
13,199,Illinois,91,female,hispanic
14,33,Indiana,91,female,hispanic
15,12,Iowa,91,female,hispanic
16,30,Kansas,91,female,hispanic
17,27,Kentucky,91,female,hispanic
18,51,Louisiana,91,female,hispanic
19,0,Maine,91,female,hispanic
20,66,Maryland,91,female,hispanic
21,78,Massachusetts,91,female,hispanic
22,48,Michigan,91,female,hispanic
23,24,Minnesota,91,female,hispanic
24,6,Mississippi,91,female,hispanic
25,38,Missouri,91,female,hispanic
26,4,Montana,91,female,hispanic
27,13,Nebraska,91,female,hispanic
28,83,Nevada,91,female,hispanic
29,2,New Hampshire,91,female,hispanic
30,311,New Jersey,91,female,hispanic
31,350,New Mexico,91,female,hispanic
32,1070,New York,91,female,hispanic
33,54,North Carolina,91,female,hispanic
34,1,North Dakota,91,female,hispanic
35,53,Ohio,91,female,hispanic
36,28,Oklahoma,91,female,hispanic
37,46,Oregon,91,female,hispanic
38,92,Pennsylvania,91,female,hispanic
39,21,Rhode Island,91,female,hispanic
40,25,South Carolina,91,female,hispanic
41,5,South Dakota,91,female,hispanic
42,23,Tennessee,91,female,hispanic
43,1680,Texas,91,female,hispanic
44,31,Utah,91,female,hispanic
45,4,Vermont,91,female,hispanic
46,61,Virginia,91,female,hispanic
47,65,Washington,91,female,hispanic
48,7,West Virginia,91,female,hispanic
49,28,Wisconsin,91,female,hispanic
50,10,Wyoming,91,female,hispanic
51,2308,Puerto Rico,91,female,hispanic
0,12,Alabama,92,female,hispanic
1,4,Alaska,92,female,hispanic
2,281,Arizona,92,female,hispanic
3,10,Arkansas,92,female,hispanic
4,2250,California,92,female,hispanic
5,136,Colorado,92,female,hispanic
6,50,Connecticut,92,female,hispanic
7,8,Delaware,92,female,hispanic
8,10,District of Columbia,92,female,hispanic
9,1681,Florida,92,female,hispanic
10,48,Georgia,92,female,hispanic
11,17,Hawaii,92,female,hispanic
12,13,Idaho,92,female,hispanic
13,180,Illinois,92,female,hispanic
14,40,Indiana,92,female,hispanic
15,17,Iowa,92,female,hispanic
16,20,Kansas,92,female,hispanic
17,11,Kentucky,92,female,hispanic
18,21,Louisiana,92,female,hispanic
19,9,Maine,92,female,hispanic
20,42,Maryland,92,female,hispanic
21,73,Massachusetts,92,female,hispanic
22,57,Michigan,92,female,hispanic
23,17,Minnesota,92,female,hispanic
24,5,Mississippi,92,female,hispanic
25,29,Missouri,92,female,hispanic
26,7,Montana,92,female,hispanic
27,12,Nebraska,92,female,hispanic
28,61,Nevada,92,female,hispanic
29,2,New Hampshire,92,female,hispanic
30,290,New Jersey,92,female,hispanic
31,255,New Mexico,92,female,hispanic
32,854,New York,92,female,hispanic
33,35,North Carolina,92,female,hispanic
34,2,North Dakota,92,female,hispanic
35,38,Ohio,92,female,hispanic
36,16,Oklahoma,92,female,hispanic
37,28,Oregon,92,female,hispanic
38,88,Pennsylvania,92,female,hispanic
39,17,Rhode Island,92,female,hispanic
40,22,South Carolina,92,female,hispanic
41,1,South Dakota,92,female,hispanic
42,19,Tennessee,92,female,hispanic
43,1378,Texas,92,female,hispanic
44,29,Utah,92,female,hispanic
45,0,Vermont,92,female,hispanic
46,54,Virginia,92,female,hispanic
47,55,Washington,92,female,hispanic
48,5,West Virginia,92,female,hispanic
49,23,Wisconsin,92,female,hispanic
50,5,Wyoming,92,female,hispanic
51,1968,Puerto Rico,92,female,hispanic
0,16,Alabama,89,female,hispanic
1,8,Alaska,89,female,hispanic
2,487,Arizona,89,female,hispanic
3,17,Arkansas,89,female,hispanic
4,4581,California,89,female,hispanic
5,304,Colorado,89,female,hispanic
6,109,Connecticut,89,female,hispanic
7,15,Delaware,89,female,hispanic
8,20,District of Columbia,89,female,hispanic
9,3068,Florida,89,female,hispanic
10,93,Georgia,89,female,hispanic
11,46,Hawaii,89,female,hispanic
12,22,Idaho,89,female,hispanic
13,380,Illinois,89,female,hispanic
14,74,Indiana,89,female,hispanic
15,43,Iowa,89,female,hispanic
16,65,Kansas,89,female,hispanic
17,24,Kentucky,89,female,hispanic
18,67,Louisiana,89,female,hispanic
19,5,Maine,89,female,hispanic
20,91,Maryland,89,female,hispanic
21,128,Massachusetts,89,female,hispanic
22,122,Michigan,89,female,hispanic
23,25,Minnesota,89,female,hispanic
24,16,Mississippi,89,female,hispanic
25,50,Missouri,89,female,hispanic
26,6,Montana,89,female,hispanic
